state,district,total_cultivated_area_ha,dominant_crop,dominant_crop_area_ha,top_crops_summary
Gujarat,Aravalli,225423.6,Wheat,64749.5,Wheat: 64749.5ha; Cotton(lint): 38603.5ha; Groundnut: 23096.1ha; Castor seed: 22131.2ha; Potato: 19743.0ha
Gujarat,Banas Kantha,646474.7,Rapeseed &Mustard,138702.8,Rapeseed &Mustard: 138702.8ha; Bajra: 103431.8ha; Castor seed: 91722.0ha; Potato: 71351.2ha; Groundnut: 69584.8ha
Gujarat,Bharuch,252505.4,Arhar/Tur,82335.2,Arhar/Tur: 82335.2ha; Cotton(lint): 79019.5ha; Sugarcane: 31850.0ha; Wheat: 17735.0ha; Other Rabi pulses: 10750.0ha
Gujarat,Bhavnagar,326953.4,Cotton(lint),219994.2,Cotton(lint): 219994.2ha; Groundnut: 50277.5ha; Bajra: 15715.1ha; Onion: 12744.9ha; Wheat: 12507.2ha
Gujarat,Botad,181616.3,Cotton(lint),165677.8,Cotton(lint): 165677.8ha; Wheat: 7799.8ha; Sesamum: 3190.5ha; Gram: 1909.0ha; Groundnut: 1219.3ha
Gujarat,Chhotaudepur,165481.6,Cotton(lint),79062.8,Cotton(lint): 79062.8ha; Arhar/Tur: 24534.2ha; Rice: 19022.8ha; Maize: 18565.8ha; Soyabean: 10777.2ha
Gujarat,Dang,67100.1,Rice,22546.0,Rice: 22546.0ha; Gram: 14861.8ha; Ragi: 9907.2ha; Urad: 5967.8ha; Arhar/Tur: 2968.0ha
Gujarat,Devbhumi Dwarka,128180.9,Groundnut,91788.9,Groundnut: 91788.9ha; Cotton(lint): 20738.8ha; Wheat: 4644.8ha; Gram: 3770.2ha; Sesamum: 2897.1ha
Gujarat,Dohad,249199.4,Maize,58642.8,Maize: 58642.8ha; Wheat: 49896.8ha; Rice: 41911.2ha; Soyabean: 40664.5ha; Gram: 36742.0ha
Gujarat,Gandhinagar,116731.4,Wheat,28062.0,Wheat: 28062.0ha; Castor seed: 25821.0ha; Cotton(lint): 23119.8ha; Guar seed: 9735.2ha; Potato: 8729.5ha
Gujarat,Gir Somnath,160458.8,Groundnut,53957.5,Groundnut: 53957.5ha; Wheat: 49164.2ha; Cotton(lint): 15379.5ha; Gram: 13396.8ha; Soyabean: 4645.2ha
Gujarat,Jamnagar,285668.5,Cotton(lint),171364.5,Cotton(lint): 171364.5ha; Groundnut: 68807.2ha; Wheat: 15189.0ha; Gram: 14930.0ha; Castor seed: 6214.0ha
Gujarat,Junagadh,294772.4,Groundnut,122728.0,Groundnut: 122728.0ha; Cotton(lint): 63415.2ha; Wheat: 54625.5ha; Gram: 28521.0ha; Soyabean: 4078.5ha
Gujarat,Kachchh,354712.7,Castor seed,87714.0,Castor seed: 87714.0ha; Guar seed: 65988.8ha; Cotton(lint): 54468.5ha; Moong(Green Gram): 28509.8ha; Wheat: 24432.5ha
Gujarat,Kheda,236089.2,Wheat,75726.8,Wheat: 75726.8ha; Rice: 59411.1ha; Tobacco: 31395.8ha; Bajra: 19139.2ha; Cotton(lint): 17972.0ha
Gujarat,Mahesana,269505.8,Castor seed,80345.0,Castor seed: 80345.0ha; Wheat: 65825.0ha; Cotton(lint): 36953.0ha; Rapeseed &Mustard: 17308.8ha; Guar seed: 14928.0ha
Gujarat,Mahisagar,89912.0,Wheat,20336.5,Wheat: 20336.5ha; Rice: 20054.1ha; Maize: 16303.8ha; Cotton(lint): 8542.8ha; Gram: 6415.0ha
Gujarat,Morbi,280297.3,Cotton(lint),183692.8,Cotton(lint): 183692.8ha; Groundnut: 54353.9ha; Wheat: 14793.2ha; Castor seed: 10540.5ha; Sesamum: 4709.2ha
Gujarat,Narmada,105832.6,Cotton(lint),45620.2,Cotton(lint): 45620.2ha; Arhar/Tur: 21354.8ha; Rice: 11764.2ha; Banana: 7964.2ha; Sugarcane: 6231.8ha
Gujarat,Navsari,47586.7,Rice,27602.1,Rice: 27602.1ha; Sugarcane: 14852.0ha; Gram: 1329.2ha; Other Rabi pulses: 1177.8ha; Arhar/Tur: 1003.0ha
Gujarat,Panch Mahals,113845.5,Maize,28068.6,Maize: 28068.6ha; Rice: 27299.0ha; Arhar/Tur: 16971.2ha; Wheat: 16475.2ha; Cotton(lint): 11421.2ha
Gujarat,Patan,272028.9,Castor seed,79960.5,Castor seed: 79960.5ha; Cotton(lint): 42354.8ha; Wheat: 33261.0ha; Urad: 28427.8ha; Guar seed: 27829.5ha
Gujarat,Porbandar,112187.5,Groundnut,62063.0,Groundnut: 62063.0ha; Gram: 14608.8ha; Jowar: 10675.0ha; Cotton(lint): 10206.2ha; Wheat: 9753.8ha
Gujarat,Rajkot,465516.3,Cotton(lint),244812.0,Cotton(lint): 244812.0ha; Groundnut: 126766.6ha; Wheat: 55512.2ha; Gram: 15198.5ha; Castor seed: 8708.8ha
Gujarat,Sabar Kantha,257774.3,Wheat,84161.2,Wheat: 84161.2ha; Cotton(lint): 70061.8ha; Groundnut: 25828.8ha; Castor seed: 22654.5ha; Potato: 9726.5ha
Gujarat,Surat,143855.9,Sugarcane,76921.8,Sugarcane: 76921.8ha; Rice: 23366.5ha; Soyabean: 10746.2ha; Arhar/Tur: 9653.2ha; Jowar: 5613.8ha
Gujarat,Surendranagar,505649.8,Cotton(lint),364568.0,Cotton(lint): 364568.0ha; Castor seed: 49560.5ha; Wheat: 41654.0ha; Gram: 16673.8ha; Groundnut: 10332.8ha
Gujarat,Tapi,108470.8,Rice,29174.9,Rice: 29174.9ha; Sugarcane: 22368.8ha; Arhar/Tur: 17838.2ha; Soyabean: 11979.8ha; Cotton(lint): 6699.8ha
Gujarat,Vadodara,223458.4,Cotton(lint),77470.5,Cotton(lint): 77470.5ha; Arhar/Tur: 40902.2ha; Castor seed: 38990.0ha; Wheat: 23881.8ha; Rice: 14305.6ha
Gujarat,Valsad,72035.4,Rice,37735.8,Rice: 37735.8ha; Arhar/Tur: 7920.0ha; Sugarcane: 7041.5ha; Urad: 5565.2ha; Other Rabi pulses: 5026.8ha
Haryana,Ambala,199037.9,Wheat,88275.0,Wheat: 88275.0ha; Rice: 85975.0ha; Sugarcane: 11125.0ha; Onion: 3281.2ha; Potato: 3217.2ha
Haryana,Bhiwani,553708.3,Rapeseed &Mustard,138050.0,Rapeseed &Mustard: 138050.0ha; Wheat: 129450.0ha; Cotton(lint): 94500.0ha; Bajra: 77600.0ha; Guar seed: 54722.3ha
Haryana,Charki Dadri,220639.4,Rapeseed &Mustard,56266.7,Rapeseed &Mustard: 56266.7ha; Wheat: 53166.7ha; Bajra: 44100.0ha; Cotton(lint): 32033.3ha; Guar seed: 18153.0ha
Haryana,Faridabad,50210.9,Wheat,30075.0,Wheat: 30075.0ha; Rice: 13475.0ha; Bajra: 3250.0ha; Jowar: 1060.0ha; Sugarcane: 600.0ha
Haryana,Fatehabad,415125.7,Wheat,189075.0,Wheat: 189075.0ha; Rice: 121625.0ha; Cotton(lint): 67750.0ha; Rapeseed &Mustard: 16250.0ha; Guar seed: 11756.0ha
Haryana,Gurgaon,101772.5,Wheat,43650.0,Wheat: 43650.0ha; Bajra: 31500.0ha; Rapeseed &Mustard: 14375.0ha; Rice: 5275.0ha; Cotton(lint): 2700.0ha
Haryana,Hisar,608270.3,Wheat,223825.0,Wheat: 223825.0ha; Cotton(lint): 133050.0ha; Rice: 74600.0ha; Rapeseed &Mustard: 70675.0ha; Guar seed: 46015.3ha
Haryana,Jhajjar,234141.2,Wheat,102750.0,Wheat: 102750.0ha; Rice: 43300.0ha; Bajra: 35800.0ha; Rapeseed &Mustard: 28250.0ha; Cotton(lint): 9225.0ha
Haryana,Jind,436059.7,Wheat,209925.0,Wheat: 209925.0ha; Rice: 139375.0ha; Cotton(lint): 60925.0ha; Bajra: 12350.0ha; Rapeseed &Mustard: 5050.0ha
Haryana,Kaithal,368337.6,Wheat,185950.0,Wheat: 185950.0ha; Rice: 166175.0ha; Cotton(lint): 6625.0ha; Sugarcane: 4675.0ha; Bajra: 1650.0ha
Haryana,Karnal,383788.9,Wheat,182475.0,Wheat: 182475.0ha; Rice: 176175.0ha; Sugarcane: 12600.0ha; Potato: 5298.8ha; Onion: 1797.5ha
Haryana,Kurukshetra,261957.5,Rice,118950.0,Rice: 118950.0ha; Wheat: 110500.0ha; Sugarcane: 11600.0ha; Potato: 8665.0ha; Sunflower: 4950.0ha
Haryana,Mahendragarh,286022.1,Bajra,102500.0,Bajra: 102500.0ha; Rapeseed &Mustard: 89425.0ha; Wheat: 45000.0ha; Cotton(lint): 24050.0ha; Guar seed: 14564.7ha
Haryana,Mewat,164874.6,Wheat,78300.0,Wheat: 78300.0ha; Bajra: 26575.0ha; Rapeseed &Mustard: 23400.0ha; Rice: 10575.0ha; Jowar: 9632.5ha
Haryana,Palwal,175253.7,Wheat,96575.0,Wheat: 96575.0ha; Rice: 36025.0ha; Cotton(lint): 17650.0ha; Bajra: 8550.0ha; Jowar: 7587.5ha
Haryana,Panchkula,41635.2,Wheat,18200.0,Wheat: 18200.0ha; Rice: 10875.0ha; Maize: 3815.0ha; Potato: 2314.5ha; Onion: 1831.5ha
Haryana,Panipat,175302.3,Wheat,84775.0,Wheat: 84775.0ha; Rice: 78550.0ha; Sugarcane: 6875.0ha; Potato: 1286.2ha; Onion: 1054.8ha
Haryana,Rewari,198112.5,Rapeseed &Mustard,69875.0,Rapeseed &Mustard: 69875.0ha; Bajra: 67000.0ha; Wheat: 43200.0ha; Cotton(lint): 11075.0ha; Rice: 2175.0ha
Haryana,Rohtak,217487.7,Wheat,105125.0,Wheat: 105125.0ha; Rice: 52750.0ha; Cotton(lint): 14175.0ha; Rapeseed &Mustard: 11050.0ha; Bajra: 10825.0ha
Haryana,Sirsa,711353.0,Wheat,297450.0,Wheat: 297450.0ha; Cotton(lint): 192375.0ha; Rice: 95550.0ha; Guar seed: 57473.0ha; Rapeseed &Mustard: 51575.0ha
Haryana,Sonipat,288447.2,Wheat,144850.0,Wheat: 144850.0ha; Rice: 110200.0ha; Sugarcane: 8275.0ha; Bajra: 5950.0ha; Jowar: 4640.0ha
Haryana,Yamunanagar,207254.1,Wheat,90575.0,Wheat: 90575.0ha; Rice: 78175.0ha; Sugarcane: 23425.0ha; Potato: 6070.0ha; Onion: 2923.2ha
Himachal Pradesh,Bilaspur,50185.0,Maize,24180.5,Maize: 24180.5ha; Wheat: 23740.0ha; Rice: 1427.8ha; Rapeseed &Mustard: 171.5ha; Barley: 133.5ha
Himachal Pradesh,Chamba,59364.8,Maize,26340.2,Maize: 26340.2ha; Wheat: 18359.5ha; Barley: 4154.5ha; Rice: 2714.0ha; Rapeseed &Mustard: 2280.2ha
Himachal Pradesh,Hamirpur,63695.2,Maize,30869.8,Maize: 30869.8ha; Wheat: 30532.8ha; Rice: 1845.5ha; Rapeseed &Mustard: 155.0ha; Barley: 63.2ha
Himachal Pradesh,Kangra,186137.0,Wheat,85518.5,Wheat: 85518.5ha; Maize: 55708.8ha; Rice: 33665.2ha; Barley: 2417.0ha; Rapeseed &Mustard: 1928.0ha
Himachal Pradesh,Kinnaur,2879.7,Small millets,1279.8,Small millets: 1279.8ha; Barley: 792.8ha; Peas & beans (Pulses): 348.4ha; Wheat: 180.5ha; Maize: 136.2ha
Himachal Pradesh,Kullu,41522.5,Wheat,17650.2,Wheat: 17650.2ha; Maize: 15352.8ha; Barley: 2338.2ha; Other Rabi pulses: 1451.0ha; Rice: 1315.0ha
Himachal Pradesh,Lahul And Spiti,1958.7,Potato,651.2,Potato: 651.2ha; Peas & beans (Pulses): 624.5ha; Barley: 501.2ha; Wheat: 69.8ha; Rapeseed &Mustard: 44.8ha
Himachal Pradesh,Mandi,137317.4,Wheat,59626.8,Wheat: 59626.8ha; Maize: 47749.0ha; Rice: 18335.0ha; Barley: 3023.8ha; Other Rabi pulses: 1568.3ha
Himachal Pradesh,Shimla,32300.5,Wheat,9789.8,Wheat: 9789.8ha; Maize: 9291.0ha; Barley: 2848.0ha; Small millets: 1857.0ha; Other Rabi pulses: 1750.7ha
Himachal Pradesh,Sirmaur,63433.1,Wheat,25595.0,Wheat: 25595.0ha; Maize: 19034.5ha; Rice: 5910.5ha; Garlic: 2528.5ha; Barley: 2078.0ha
Himachal Pradesh,Solan,56567.8,Wheat,26698.5,Wheat: 26698.5ha; Maize: 20646.5ha; Rice: 3910.0ha; Barley: 1615.5ha; Ginger: 946.5ha
Himachal Pradesh,Una,62978.8,Maize,30076.0,Maize: 30076.0ha; Wheat: 28910.0ha; Rice: 1644.5ha; Rapeseed &Mustard: 1154.0ha; Potato: 470.8ha
Jammu and Kashmir,Anantnag,46657.0,Rice,22345.5,Rice: 22345.5ha; Rapeseed &Mustard: 13016.0ha; Maize: 10848.5ha; Moth: 157.8ha; Other Kharif pulses: 87.0ha
Jammu and Kashmir,Badgam,37577.4,Rice,24548.0,Rice: 24548.0ha; Maize: 6284.2ha; Rapeseed &Mustard: 4339.2ha; Wheat: 1515.8ha; Other Kharif pulses: 296.2ha
Jammu and Kashmir,Bandipora,20372.4,Rice,10806.0,Rice: 10806.0ha; Maize: 5800.5ha; Rapeseed &Mustard: 1535.0ha; Other Kharif pulses: 911.0ha; Moth: 575.0ha
Jammu and Kashmir,Baramulla,42474.8,Rice,20634.2,Rice: 20634.2ha; Maize: 20067.2ha; Other Kharif pulses: 749.2ha; Cowpea(Lobia): 213.0ha; Moong(Green Gram): 204.2ha
Jammu and Kashmir,Doda,33679.0,Maize,24212.8,Maize: 24212.8ha; Wheat: 4188.2ha; Rice: 1474.8ha; Barley: 1186.2ha; Rapeseed &Mustard: 931.0ha
Jammu and Kashmir,Ganderbal,15292.5,Rice,7850.2,Rice: 7850.2ha; Maize: 3780.0ha; Rapeseed &Mustard: 1868.5ha; Sesamum: 1597.0ha; Onion: 76.5ha
Jammu and Kashmir,Jammu,170299.6,Wheat,74294.5,Wheat: 74294.5ha; Rice: 61616.2ha; Maize: 21977.8ha; Bajra: 4281.5ha; Other Cereals: 2586.7ha
Jammu and Kashmir,Kargil,10991.5,Other Cereals,4057.0,Other Cereals: 4057.0ha; Ragi: 3958.5ha; Wheat: 1559.7ha; Small millets: 868.0ha; Peas & beans (Pulses): 507.8ha
Jammu and Kashmir,Kathua,107184.8,Wheat,48793.2,Wheat: 48793.2ha; Rice: 33532.2ha; Maize: 16107.8ha; Urad: 2506.8ha; Rapeseed &Mustard: 1937.4ha
Jammu and Kashmir,Kishtwar,17984.7,Maize,11037.0,Maize: 11037.0ha; Wheat: 2239.0ha; Small millets: 1310.0ha; Rice: 1192.8ha; Barley: 762.5ha
Jammu and Kashmir,Kulgam,24239.9,Rice,13048.2,Rice: 13048.2ha; Rapeseed &Mustard: 7038.2ha; Maize: 3483.8ha; Onion: 217.2ha; Other Kharif pulses: 186.5ha
Jammu and Kashmir,Kupwara,36005.2,Maize,18526.2,Maize: 18526.2ha; Rice: 17374.2ha; Potato: 58.8ha; Small millets: 32.0ha; Onion: 8.0ha
Jammu and Kashmir,Leh Ladakh,11221.8,Bajra,4542.0,Bajra: 4542.0ha; Wheat: 2497.7ha; Ragi: 2312.5ha; Other Cereals: 1103.8ha; Small millets: 324.2ha
Jammu and Kashmir,Poonch,42520.0,Maize,23728.0,Maize: 23728.0ha; Wheat: 15550.8ha; Rice: 2854.5ha; Rapeseed &Mustard: 120.0ha; Garlic: 114.0ha
Jammu and Kashmir,Pulwama,25801.9,Rice,12625.0,Rice: 12625.0ha; Rapeseed &Mustard: 9534.2ha; Maize: 2628.8ha; Wheat: 307.5ha; Potato: 176.5ha
Jammu and Kashmir,Rajauri,100625.9,Maize,46998.2,Maize: 46998.2ha; Wheat: 46358.2ha; Rice: 4578.2ha; Rapeseed &Mustard: 1051.5ha; Bajra: 566.8ha
Jammu and Kashmir,Ramban,23886.9,Maize,15928.2,Maize: 15928.2ha; Wheat: 4870.2ha; Rice: 2695.5ha; Rapeseed &Mustard: 308.0ha; Barley: 47.0ha
Jammu and Kashmir,Reasi,37411.2,Maize,19247.0,Maize: 19247.0ha; Wheat: 14258.5ha; Rice: 2227.0ha; Rapeseed &Mustard: 987.0ha; Bajra: 347.8ha
Jammu and Kashmir,Samba,61130.8,Wheat,27661.2,Wheat: 27661.2ha; Rice: 19020.5ha; Maize: 4118.2ha; Bajra: 4075.0ha; Sesamum: 1963.2ha
Jammu and Kashmir,Shopian,1290.2,Maize,481.8,Maize: 481.8ha; Rice: 291.8ha; Rapeseed &Mustard: 276.2ha; Potato: 222.2ha; Other Kharif pulses: 14.2ha
Jammu and Kashmir,Srinagar,3969.5,Rice,2903.0,Rice: 2903.0ha; Rapeseed &Mustard: 219.5ha; Garlic: 188.8ha; Potato: 133.8ha; Dry chillies: 123.0ha
Jammu and Kashmir,Udhampur,82860.0,Wheat,37408.0,Wheat: 37408.0ha; Maize: 26825.0ha; Rice: 13269.5ha; Rapeseed &Mustard: 1444.8ha; Urad: 1391.0ha
Jharkhand,Bokaro,57312.8,Rice,20664.6,Rice: 20664.6ha; Rapeseed &Mustard: 6863.5ha; Maize: 6019.8ha; Arhar/Tur: 5701.5ha; Gram: 4739.5ha
Jharkhand,Chatra,91917.1,Rice,29470.8,Rice: 29470.8ha; Gram: 12104.5ha; Rapeseed &Mustard: 10382.2ha; Wheat: 9134.0ha; Arhar/Tur: 6195.8ha
Jharkhand,Deoghar,72407.8,Rice,31261.2,Rice: 31261.2ha; Wheat: 7548.5ha; Rapeseed &Mustard: 6734.8ha; Maize: 5806.6ha; Arhar/Tur: 5709.0ha
Jharkhand,Dhanbad,49501.4,Rice,29680.0,Rice: 29680.0ha; Rapeseed &Mustard: 6194.3ha; Gram: 2930.0ha; Arhar/Tur: 2106.3ha; Wheat: 2017.5ha
Jharkhand,Dumka,148908.8,Rice,72792.4,Rice: 72792.4ha; Rapeseed &Mustard: 13350.5ha; Arhar/Tur: 10698.2ha; Maize: 10658.3ha; Wheat: 10270.0ha
Jharkhand,East Singhbum,115158.8,Rice,68845.4,Rice: 68845.4ha; Rapeseed &Mustard: 6940.8ha; Arhar/Tur: 6883.0ha; Gram: 4746.5ha; Maize: 4661.3ha
Jharkhand,Garhwa,121501.7,Rice,32725.8,Rice: 32725.8ha; Arhar/Tur: 17414.8ha; Wheat: 15157.0ha; Rapeseed &Mustard: 14166.8ha; Maize: 11197.7ha
Jharkhand,Giridih,114240.2,Rice,58795.0,Rice: 58795.0ha; Maize: 11126.1ha; Wheat: 9580.8ha; Rapeseed &Mustard: 8610.8ha; Gram: 6486.8ha
Jharkhand,Godda,87529.0,Rice,29909.4,Rice: 29909.4ha; Wheat: 12882.2ha; Rapeseed &Mustard: 10839.5ha; Gram: 8354.8ha; Maize: 6498.6ha
Jharkhand,Gumla,221986.3,Rice,147983.8,Rice: 147983.8ha; Rapeseed &Mustard: 12109.0ha; Urad: 8372.8ha; Arhar/Tur: 8347.0ha; Wheat: 8079.2ha
Jharkhand,Hazaribagh,100509.8,Rice,43660.8,Rice: 43660.8ha; Rapeseed &Mustard: 10148.2ha; Wheat: 10117.2ha; Gram: 9795.0ha; Maize: 6089.3ha
Jharkhand,Jamtara,66997.9,Rice,44186.5,Rice: 44186.5ha; Rapeseed &Mustard: 6934.2ha; Wheat: 5030.0ha; Maize: 4620.1ha; Gram: 1716.8ha
Jharkhand,Khunti,91631.4,Rice,50260.6,Rice: 50260.6ha; Rapeseed &Mustard: 8759.0ha; Urad: 5367.0ha; Arhar/Tur: 4706.5ha; Wheat: 4245.5ha
Jharkhand,Koderma,51311.1,Rice,9591.4,Rice: 9591.4ha; Rapeseed &Mustard: 7335.8ha; Gram: 6962.2ha; Wheat: 6223.0ha; Arhar/Tur: 5013.0ha
Jharkhand,Latehar,101599.9,Rice,19588.4,Rice: 19588.4ha; Arhar/Tur: 18230.8ha; Maize: 16384.5ha; Rapeseed &Mustard: 11623.8ha; Gram: 8759.2ha
Jharkhand,Lohardaga,70224.1,Rice,31865.4,Rice: 31865.4ha; Rapeseed &Mustard: 6792.5ha; Gram: 4686.0ha; Arhar/Tur: 4628.0ha; Wheat: 4180.8ha
Jharkhand,Pakur,83572.8,Rice,35239.0,Rice: 35239.0ha; Rapeseed &Mustard: 9422.5ha; Gram: 7338.8ha; Wheat: 6484.5ha; Arhar/Tur: 6066.8ha
Jharkhand,Palamu,157939.9,Rice,33811.0,Rice: 33811.0ha; Arhar/Tur: 28280.0ha; Wheat: 16348.2ha; Rapeseed &Mustard: 15897.0ha; Maize: 15199.6ha
Jharkhand,Ramgarh,59727.2,Rice,25829.8,Rice: 25829.8ha; Rapeseed &Mustard: 6605.0ha; Gram: 6239.5ha; Maize: 4574.8ha; Arhar/Tur: 3953.2ha
Jharkhand,Ranchi,206922.4,Rice,125539.8,Rice: 125539.8ha; Wheat: 12199.8ha; Rapeseed &Mustard: 11138.8ha; Arhar/Tur: 9630.2ha; Gram: 8951.0ha
Jharkhand,Sahebganj,85485.8,Rice,32485.0,Rice: 32485.0ha; Wheat: 9490.8ha; Rapeseed &Mustard: 9442.8ha; Gram: 6162.5ha; Maize: 5923.6ha
Jharkhand,Saraikela Kharsawan,109120.1,Rice,57298.4,Rice: 57298.4ha; Rapeseed &Mustard: 8184.2ha; Gram: 7630.0ha; Arhar/Tur: 6889.0ha; Urad: 6755.8ha
Jharkhand,Simdega,149361.1,Rice,62177.6,Rice: 62177.6ha; Urad: 19198.2ha; Arhar/Tur: 11300.0ha; Rapeseed &Mustard: 10092.8ha; Gram: 9306.2ha
Jharkhand,West Singhbhum,189736.5,Rice,124631.0,Rice: 124631.0ha; Linseed: 12251.7ha; Rapeseed &Mustard: 7405.0ha; Gram: 7197.0ha; Urad: 7037.5ha
Karnataka,Bagalkot,439306.7,Gram,105200.0,Gram: 105200.0ha; Sugarcane: 91176.3ha; Jowar: 50959.2ha; Moong(Green Gram): 40318.3ha; Arhar/Tur: 34276.3ha
Karnataka,Bagalkote,353577.5,Sugarcane,82455.0,Sugarcane: 82455.0ha; Gram: 80228.0ha; Arhar/Tur: 50933.0ha; Jowar: 25557.7ha; Wheat: 21038.0ha
Karnataka,Ballari,312588.3,Rice,65587.5,Rice: 65587.5ha; Maize: 64194.7ha; Groundnut: 32720.0ha; Dry chillies: 30401.0ha; Cotton(lint): 28449.0ha
Karnataka,Bangalore Rural,27258.6,Ragi,13554.6,Ragi: 13554.6ha; Maize: 3139.6ha; Coconut: 2970.0ha; Arecanut: 2484.2ha; Arhar/Tur: 1064.5ha
Karnataka,Belagavi,691947.2,Sugarcane,189896.0,Sugarcane: 189896.0ha; Gram: 107909.0ha; Soyabean: 83238.0ha; Maize: 61002.3ha; Wheat: 49886.0ha
Karnataka,Belgaum,691498.7,Sugarcane,193034.7,Sugarcane: 193034.7ha; Gram: 106589.3ha; Soyabean: 80878.0ha; Maize: 51830.7ha; Jowar: 45665.7ha
Karnataka,Bellary,227764.7,Maize,44092.6,Maize: 44092.6ha; Rice: 36316.2ha; Groundnut: 26266.7ha; Cotton(lint): 25473.5ha; Gram: 20789.0ha
Karnataka,Bengaluru Urban,11460.9,Ragi,4989.0,Ragi: 4989.0ha; Coconut: 1763.0ha; Other Kharif pulses: 1047.8ha; Jowar: 791.0ha; Arhar/Tur: 708.5ha
Karnataka,Bidar,412947.0,Soyabean,155218.0,Soyabean: 155218.0ha; Arhar/Tur: 91312.2ha; Gram: 60424.2ha; Moong(Green Gram): 25152.6ha; Jowar: 21676.2ha
Karnataka,Bijapur,925730.9,Arhar/Tur,390810.7,Arhar/Tur: 390810.7ha; Gram: 226920.7ha; Jowar: 130349.7ha; Wheat: 38463.0ha; Sugarcane: 36337.7ha
Karnataka,Chamarajanagar,100271.1,Horse-gram,16656.8,Horse-gram: 16656.8ha; Jowar: 12250.2ha; Cotton(lint): 8695.3ha; Maize: 8448.3ha; Coconut: 8440.0ha
Karnataka,Chamarajanagara,101244.5,Horse-gram,19801.5,Horse-gram: 19801.5ha; Coconut: 12569.0ha; Jowar: 9529.0ha; Maize: 8794.3ha; Turmeric: 7440.0ha
Karnataka,Chikballapur,72772.2,Maize,16144.6,Maize: 16144.6ha; Ragi: 13796.0ha; Groundnut: 11331.3ha; Arhar/Tur: 9435.0ha; Jowar: 8078.5ha
Karnataka,Chikkaballapura,60233.4,Ragi,15269.3,Ragi: 15269.3ha; Maize: 14243.7ha; Groundnut: 12800.0ha; Arhar/Tur: 5149.0ha; Jowar: 3579.0ha
Karnataka,Chikkamagaluru,205723.2,Arecanut,63587.0,Arecanut: 63587.0ha; Coconut: 54188.0ha; Black pepper: 40520.0ha; Ragi: 11407.3ha; Rice: 7816.5ha
Karnataka,Chikmagalur,224668.1,Coconut,45701.0,Coconut: 45701.0ha; Ragi: 40090.3ha; Arecanut: 39667.7ha; Maize: 21448.7ha; Black pepper: 16830.0ha
Karnataka,Chitradurga,256329.5,Groundnut,51956.4,Groundnut: 51956.4ha; Coconut: 45980.2ha; Maize: 32372.9ha; Arecanut: 27837.5ha; Gram: 27607.8ha
Karnataka,Dakshin Kannad,120345.7,Arecanut,53426.0,Arecanut: 53426.0ha; Cashewnut: 28162.3ha; Coconut: 22951.7ha; Rice: 10229.0ha; Black pepper: 4000.7ha
Karnataka,Dakshina Kannada,152755.0,Arecanut,93151.0,Arecanut: 93151.0ha; Coconut: 31986.0ha; Cashewnut: 14095.0ha; Black pepper: 7146.0ha; Rice: 6314.0ha
Karnataka,Davangere,196538.2,Maize,53620.5,Maize: 53620.5ha; Arecanut: 51967.5ha; Rice: 46549.5ha; Coconut: 9011.2ha; Groundnut: 6796.5ha
Karnataka,Dharwad,297737.0,Gram,84955.2,Gram: 84955.2ha; Soyabean: 33818.0ha; Cotton(lint): 31088.1ha; Wheat: 28476.2ha; Moong(Green Gram): 21624.4ha
Karnataka,Gadag,348228.9,Gram,119307.8,Gram: 119307.8ha; Moong(Green Gram): 82382.0ha; Jowar: 31773.4ha; Groundnut: 20379.1ha; Cotton(lint): 18673.2ha
Karnataka,Gulbarga,943107.0,Arhar/Tur,443827.3,Arhar/Tur: 443827.3ha; Gram: 171140.0ha; Jowar: 107183.0ha; Moong(Green Gram): 57625.7ha; Cotton(lint): 54434.0ha
Karnataka,Hassan,226196.2,Coconut,80955.0,Coconut: 80955.0ha; Maize: 30186.6ha; Ragi: 25635.9ha; Black pepper: 20466.8ha; Rice: 14067.1ha
Karnataka,Haveri,189990.3,Maize,65947.5,Maize: 65947.5ha; Cotton(lint): 40111.3ha; Rice: 17169.4ha; Jowar: 12952.6ha; Groundnut: 10828.5ha
Karnataka,Kalaburagi,898664.0,Arhar/Tur,606717.0,Arhar/Tur: 606717.0ha; Gram: 93196.0ha; Cotton(lint): 50642.0ha; Jowar: 33494.0ha; Moong(Green Gram): 25824.0ha
Karnataka,Kodagu,69442.2,Black pepper,41864.0,Black pepper: 41864.0ha; Rice: 9271.3ha; Arecanut: 7313.0ha; Cardamom: 4002.5ha; Maize: 2230.8ha
Karnataka,Kolar,49171.7,Ragi,20945.1,Ragi: 20945.1ha; Other Kharif pulses: 7308.2ha; Groundnut: 7211.2ha; Horse-gram: 3363.6ha; Arhar/Tur: 2229.5ha
Karnataka,Koppal,295010.8,Gram,62170.5,Gram: 62170.5ha; Bajra: 61815.4ha; Rice: 34013.9ha; Arhar/Tur: 25282.2ha; Maize: 20981.4ha
Karnataka,Mandya,138902.7,Coconut,42927.8,Coconut: 42927.8ha; Sugarcane: 27603.5ha; Rice: 19290.7ha; Ragi: 17927.7ha; Horse-gram: 14716.5ha
Karnataka,Mysore,277107.2,Tobacco,60766.3,Tobacco: 60766.3ha; Cotton(lint): 43744.7ha; Rice: 38419.3ha; Coconut: 21341.7ha; Horse-gram: 20097.2ha
